Species,TreeName,Lat,Long
A_grandidieri,Adag_18,-22.05325713,43.28783736
A_grandidieri,Adag_19,-22.05338521,43.28780676
A_grandidieri,Adag_20,-22.05338521,43.28780676
A_grandidieri,Adag_21,-22.05341639,43.28774214
A_grandidieri,Adag_22,-22.05339141,43.28767776
A_grandidieri,Adag_23,-22.05338529,43.28769897
A_grandidieri,Adag_24,-22.05344916,43.28766201
A_grandidieri,Adag_25,-22.05349359,43.28769252
A_grandidieri,Adag_26,-22.05350096,43.28782964
A_grandidieri,Adag_27,-22.05358889,43.28784775
A_grandidieri,Adag_28,-22.05361093,43.28772554
A_grandidieri,Adag_29,-22.05365695,43.28767953
A_grandidieri,Adag_30,-22.05363264,43.28761146
A_grandidieri,Adag_31,-22.05364178,43.28753804
A_grandidieri,Adag_32,-22.05366508,43.28750334
A_grandidieri,Adag_33,-22.05369584,43.28738876
A_grandidieri,Adag_34,-22.05368101,43.287402
A_grandidieri,Adag_35,-22.05414394,43.28791791
A_grandidieri,Adag_36,-22.054154,43.28798178
A_grandidieri,Adag_37,-22.05427822,43.28814254
A_grandidieri,Adag_38,-22.05424335,43.28817565
A_grandidieri,Adag_39,-22.05428006,43.28816819
A_grandidieri,Adag_40,-22.05423673,43.28818001
A_grandidieri,Adag_41,-22.05423673,43.28818001
A_grandidieri,Adag_42,-22.05421602,43.2882935
A_grandidieri,Adag_43,-22.05430252,43.28839316
A_grandidieri,Adag_44,-22.05459245,43.28819962
A_grandidieri,Adag_45,-22.05487828,43.28824011
A_grandidieri,Adag_46,-22.05487082,43.28813508
A_grandidieri,Adag_47,-22.05488574,43.28816878
A_grandidieri,Adag_48,-22.05495011,43.2880982
A_grandidieri,Adag_49,-22.05477409,43.28798329
A_grandidieri,Adag_50,-22.05476747,43.28794314
A_grandidieri,Adag_51,-22.05474274,43.28791883
A_grandidieri,Adag_52,-22.05486847,43.28772412
A_grandidieri,Adag_53,-22.05456672,43.28770341
A_grandidieri,Adag_54,-22.0545378,43.28770559
A_grandidieri,Adag_55,-22.0544933,43.28769143
A_grandidieri,Adag_56,-22.0544622,43.28771121
A_grandidieri,Adag_57,-22.05416959,43.28756788
A_grandidieri,Adag_58,-22.05415953,43.28759076
A_grandidieri,Adag_59,-22.05412013,43.28737216
A_grandidieri,Adag_60,-22.05439422,43.28735774
A_grandidieri,Adag_61,-22.05435039,43.28736604
A_grandidieri,Adag_62,-22.054399,43.28738943
A_grandidieri,Adag_63,-22.05407714,43.28749018
A_grandidieri,Adag_64,-22.07569012,43.27573431
